Sectioning,NGS,UNGS,NV,Sectioning.1,NGS.1,UNGS.1,NV.1,Sectioning.1.1,NGS.1.1,UNGS.1.1,NV.1.1,Sectioning.1.1.1,NGS.1.1.1,UNGS.1.1.1,NV.1.1.1,Sectioning.1.1.1.1,NGS.1.1.1.1,UNGS.1.1.1.1,NV.1.1.1.1,Sectioning.1.1.1.1.1,NGS.1.1.1.1.1,UNGS.1.1.1.1.1,NV.1.1.1.1.1,Sectioning.1.1.1.1.1.1,NGS.1.1.1.1.1.1,UNGS.1.1.1.1.1.1,NV.1.1.1.1.1.1,Sectioning.1.1.1.1.1.1.1,NGS.1.1.1.1.1.1.1,UNGS.1.1.1.1.1.1.1,NV.1.1.1.1.1.1.1,Sectioning,NGS,UNGS,NV
-7.868008075394413,-7.871367315622016,-7.871367315622016,-7.871367315622016,-7.238932114085808,-7.2645995839939985,-7.2645995839939985,-7.2645995839939985,-6.631131019739867,-6.542031312693828,-6.542031312693828,-7.125016287477307,-6.833371419688618,-6.8031718728381785,-6.8031718728381785,-6.8031718728381785,-7.276510744504876,-7.271888667671402,-7.271888667671402,-7.607468034919785,-7.066132923961698,-6.438585312319535,-6.438585312319535,-7.618820788937958,-7.117073166325316,-7.218383353060877,-7.218383353060877,-7.218383353060877,-6.511682805012407,-6.5341442533046274,-6.5341442533046274,-6.5341442533046274,-7.647859568290459,-6.740667604776798,-6.740667604776798,-7.668734248437274
-7.114857244025526,-7.702198748701013,-7.702198748701013,-7.702198748701013,-7.673396877098588,-7.411770847740419,-7.411770847740419,-7.411770847740419,-7.25318385429092,-7.486829442812862,-7.486829442812862,-7.486829442812862,-7.458864271422956,-7.31846802183477,-7.31846802183477,-7.31846802183477,-7.0194151011646095,-7.280374849948841,-7.280374849948841,-7.280374849948841,-6.8416057554088185,-7.782973708258437,-7.782973708258437,-7.782973708258437,-7.166931494030227,-6.945722203056706,-6.945722203056706,-6.945722203056706,-7.117752383058491,-6.724004846186269,-6.724004846186269,-7.860848385331261,-6.609466362101637,-6.50757130321136,-6.50757130321136,-7.299097651652357
-8.235223691609882,-8.409999560639859,-8.409999560639859,-8.409999560639859,-7.658640895523774,-7.663411049606282,-7.663411049606282,-7.663411049606282,-7.278373043243041,-7.217356422465139,-7.217356422465139,-7.217356422465139,-7.40400949948355,-7.120516456373284,-7.120516456373284,-7.120516456373284,-6.689333847048075,-6.741546682463067,-6.741546682463067,-6.741546682463067,-7.580198669070905,-6.912044298996488,-6.912044298996488,-6.912044298996488,-6.758679522402264,-6.824226943391356,-6.824226943391356,-6.824226943391356,-6.911728079233137,-6.726520253575847,-6.726520253575847,-7.498374234018178,-7.775655805002705,-7.514537504788105,-7.514537504788105,-7.775655805002707
-7.51841687752103,-7.435873567163584,-7.435873567163584,-7.435873567163584,-7.591946459079113,-6.891432209955746,-6.891432209955746,-7.228969496495599,-7.2784952835452,-6.909228849087732,-6.909228849087732,-6.909228849087732,-7.117313005046538,-7.243207326069868,-7.243207326069868,-7.243207326069868,-7.372436808411588,-6.528906957506301,-6.528906957506301,-6.528906957506301,-6.47368134682174,-7.078759584379222,-7.078759584379222,-7.078759584379222,-6.934676556499835,-7.016853655459644,-7.016853655459644,-7.639261766149859,-6.481862567377,-6.493202811702325,-6.493202811702325,-6.493202811702325,-6.6696315222972125,-6.669631522297212,-6.669631522297212,-6.669631522297212
-7.562127959998054,-7.051822068111786,-7.051822068111786,-7.051822068111786,-7.033648000238647,-7.39668718443682,-7.39668718443682,-7.39668718443682,-7.435383165644324,-7.474390120603935,-7.474390120603935,-7.474390120603935,-7.197786699573825,-7.234859305838721,-7.234859305838721,-7.234859305838721,-7.2860417633427295,-6.365206294568412,-6.365206294568412,-7.474013528143706,-6.784264176789695,-6.872896844780663,-6.872896844780663,-6.872896844780663,-6.779554553371693,-6.704469270107839,-6.704469270107839,-7.604346683022289,-6.806520501099045,-6.4443374645862015,-6.4443374645862015,-7.941431327501189,-6.575544873368408,-6.738795239122511,-6.738795239122511,-6.738795239122511
-8.537771735528187,-7.836184409198605,-7.836184409198605,-7.836184409198605,-7.107731364504236,-7.39099746780495,-7.39099746780495,-7.39099746780495,-6.899518687218469,-6.9757547805131495,-6.9757547805131495,-6.9757547805131495,-7.314700911706149,-6.881285289915752,-6.881285289915752,-6.881285289915752,-6.159061633213531,-6.246464717162864,-6.246464717162864,-6.246464717162864,-7.14255069943548,-6.748812937046849,-6.748812937046849,-7.6711158838596125,-7.078428640984384,-6.830466689887663,-6.830466689887663,-6.830466689887663,-6.775915779123781,-6.600293538201856,-6.600293538201856,-7.304167994233625,-7.9196735342117,-7.434667797249126,-6.435513729360115,-7.434667797249126
-7.795847764509445,-8.289150772729608,-8.289150772729608,-8.289150772729608,-7.070426654658623,-7.946102324683167,-7.946102324683167,-7.946102324683167,-7.585088566948996,-7.227695522786504,-7.227695522786504,-7.227695522786504,-7.326809664606223,-7.335573858441271,-7.335573858441271,-7.335573858441271,-7.012588937773749,-6.359396703949459,-6.359396703949459,-7.570524140610765,-6.997556556502116,-6.7013328379502175,-6.7013328379502175,-6.7013328379502175,-6.753526610119275,-7.395987345895847,-7.395987345895847,-7.395987345895847,-6.570524728941177,-6.6295223891480575,-6.6295223891480575,-6.6295223891480575,-7.218633140364156,-6.437701663387345,-6.437701663387345,-6.437701663387345
-8.425219894250171,-8.354833207474734,-8.354833207474734,-8.354833207474734,-7.531671835372146,-7.801882595274876,-7.801882595274876,-7.801882595274876,-7.3814222278765875,-7.178228438141783,-7.178228438141783,-7.178228438141783,-7.239500007848152,-7.3491769917367264,-7.3491769917367264,-7.3491769917367264,-6.697655122913327,-6.842023930372491,-6.842023930372491,-6.842023930372491,-6.282585006197301,-6.304139730385992,-6.304139730385992,-6.304139730385992,-6.820519013755438,-6.813222490384362,-6.813222490384362,-7.407204734536841,-7.008995859955989,-6.970026260008057,-6.970026260008057,-7.885077074653181,-6.224546222725046,-6.492109641860376,-6.492109641860376,-6.492109641860376
-7.58894737632171,-7.785732776174173,-7.785732776174173,-7.785732776174173,-7.637367823574259,-7.309756664933358,-7.309756664933358,-7.309756664933358,-6.668071451746615,-7.272194109892803,-7.272194109892803,-7.272194109892803,-7.242149178314339,-7.164457316374179,-7.164457316374179,-7.164457316374179,-6.905966334631042,-6.728742470926143,-6.728742470926143,-6.728742470926143,-7.101156186234822,-6.987899984992449,-6.987899984992449,-7.399337211351816,-7.057162608188326,-7.179125913542638,-7.179125913542638,-7.179125913542638,-7.050535190428452,-7.00363988152322,-7.00363988152322,-7.808599052008692,-7.737959857843029,-6.6142527311742905,-6.6142527311742905,-6.6142527311742905
-7.388357483255414,-7.521383930544054,-7.521383930544054,-7.521383930544054,-7.1800867177700844,-6.906920980966969,-6.906920980966969,-6.906920980966969,-7.799503122165666,-7.363733166490258,-7.363733166490258,-7.363733166490258,-7.574755719436405,-6.885523134356898,-6.885523134356898,-6.885523134356898,-6.308883612112316,-6.49889054931444,-6.49889054931444,-6.49889054931444,-7.0329935387274265,-6.946883687263772,-6.946883687263772,-6.946883687263772,-6.698432532646499,-6.689052486629014,-6.689052486629014,-6.689052486629014,-6.338898270715159,-6.681283746577595,-6.681283746577595,-6.681283746577595,-7.859548734600817,-6.770724053092982,-6.770724053092982,-7.832476820273005
