Sectioning,NGS,UNGS,NV,Sectioning,NGS,UNGS,NV,Sectioning,NGS,UNGS,NV,Sectioning,NGS,UNGS,NV,Sectioning,NGS,UNGS,NV,Sectioning.1,NGS.1,UNGS.1,NV.1,Sectioning.2,NGS.2,UNGS.2,NV.2,Sectioning.3,NGS.3,UNGS.3,NV.3,Sectioning,NGS,UNGS,NV
-5.292578096,-4.770979434,-6.273788121,-6.273788121,-7.300913184,-6.428207792,-6.428207792,-6.428207792,-7.791356181,-5.222101292,-5.222101292,-5.222101292,-8.31264344,-6.151503948,-6.151503948,-7.240499256,-7.912179894,-5.962342083,-5.962342083,-7.178755424,-7.815842307,-5.597837191,-5.597837191,-5.597837191,-8.038497252,-6.849523412,-6.849523412,-6.849523412,-8.196985033,-6.701155217,-6.701155217,-6.701155217,0,-8.249219568,-8.249219568,-8.249219568
-7.276649173,-6.101354614,-7.464249791,-7.464249791,-6.108058842,-5.848786357,-5.848786357,-5.848786357,-7.283265134,-5.864166333,-5.864166333,-5.864166333,-7.345769963,-6.374899135,-6.374899135,-7.559759536,-7.976570176,-6.70803,-6.70803,-7.364127482,-7.799564153,-5.940646037,-5.940646037,-6.909995687,-7.050382639,-6.462539306,-6.462539306,-6.462539306,-7.844897199,-7.10379416,-7.10379416,-7.10379416,0,-7.413962907,-7.413962907,-7.413962907
-6.617112755,-5.158710044,-5.158710044,-5.158710044,-6.014190274,-5.952442596,-5.952442596,-5.952442596,-6.571031358,-7.15293925,-7.721092774,-7.721092774,-7.439343663,-5.981862983,-5.981862983,-7.325653987,-8.100621049,-6.331995049,-6.331995049,-8.254723681,-7.161756173,-6.544308883,-6.544308883,-7.270940703,-7.990820104,-6.289861238,-6.289861238,-6.289861238,-7.771584417,-5.375061043,-5.375061043,-5.375061043,0,-8.012049361,-8.012049361,-8.012049361
-6.62710655,-4.642805164,-5.908273073,-5.908273073,-6.289118851,-4.580479313,-6.139510193,-6.139510193,-5.814321176,-5.126135395,-5.126135395,-5.126135395,-6.795368007,-5.918573258,-7.222792899,-7.222792899,-8.228041386,-7.503272185,-7.503272185,-7.503272185,-6.443997875,-5.372839371,-5.372839371,-7.445794148,-7.778032399,-5.314440421,-5.314440421,-5.314440421,-6.835202571,-7.528588878,-7.528588878,-7.528588878,0,-8.5905094,-8.5905094,-8.5905094
-5.336228604,-5.673668743,-6.945298241,-7.579639887,-6.699523219,-5.684277764,-5.684277764,-5.684277764,-7.102065199,-5.414758851,-5.414758851,-5.414758851,-5.732326393,-5.397477236,-5.397477236,-5.397477236,-6.87787673,-7.018624117,-7.018624117,-7.018624117,-8.095278277,-7.893676893,-7.893676893,-8.095278277,-8.037800188,-5.626179499,-5.626179499,-5.626179499,-8.072720291,-5.561744078,-5.561744078,-5.561744078,0,-7.238814797,-7.238814797,-7.238814797
-7.218495282,-4.917667508,-4.917667508,-6.871175319,-4.709709953,-6.558647147,-6.854710132,-7.090271526,-6.785123145,-4.821584523,-6.474170827,-6.474170827,-5.392831385,-5.845090335,-5.845090335,-6.99368922,-7.829796624,-6.038600104,-6.038600104,-7.053984223,-7.634344551,-7.058218147,-7.058218147,-7.058218147,-8.244642722,-6.618036268,-6.618036268,-6.618036268,-8.314862116,-7.482122054,-7.482122054,-7.482122054,0,-4.839366616,-4.839366616,-4.839366616
-4.959463072,-5.142242366,-5.142242366,-5.142242366,-6.776659733,-4.439424754,-5.885589557,-5.885589557,-6.950447739,-5.709058731,-7.550725231,-7.550725231,-6.790271452,-5.262981106,-7.001722479,-7.001722479,-8.252061047,-6.019716192,-6.019716192,-7.017766459,-7.972106557,-6.201454161,-6.201454161,-7.936481431,-8.073791786,-7.645859093,-7.645859093,-7.645859093,-6.384078519,-6.292758419,-6.292758419,-6.292758419,0,-7.876110203,-7.876110203,-7.876110203
-6.137635816,-4.820830705,-6.299064352,-6.299064352,-7.136330639,-6.277968053,-7.641919282,-7.641919282,-7.24209525,-6.083230991,-6.083230991,-6.083230991,-7.094428114,-5.923607867,-5.923607867,-5.923607867,-7.448503586,-6.674914814,-6.674914814,-7.400963273,-7.639911888,-5.564999365,-5.564999365,-6.669125655,-8.308147502,-6.519851212,-6.519851212,-6.519851212,-7.654021512,-7.451625733,-7.451625733,-7.451625733,0,-8.331241245,-8.331241245,-8.331241245
-5.042141751,-6.798528181,-6.798528181,-6.798528181,-7.337581918,-5.953997903,-5.953997903,-5.953997903,-6.741605136,-5.552548629,-6.548797377,-6.548797377,-5.72441095,-5.778825349,-5.778825349,-5.778825349,-7.046652462,-5.637368834,-5.637368834,-6.643108915,-7.332394085,-6.975208844,-6.975208844,-7.747751385,-7.497648287,-7.58280103,-7.58280103,-7.58280103,-7.2837791,-7.738567607,-7.738567607,-7.738567607,0,-7.85004779,-7.85004779,-7.85004779
-5.294704717,-5.263207516,-6.427349023,-7.008369626,-5.71457269,-6.939780035,-6.939780035,-7.525481124,-6.811868676,-4.68417619,-6.107407219,-6.107407219,-4.377351466,-5.001868585,-5.001868585,-5.001868585,-7.799599067,-6.362129344,-6.362129344,-6.362129344,-6.264516442,-5.339941193,-5.339941193,-6.270285999,-7.507667444,-6.086683428,-6.086683428,-6.086683428,-7.74555113,-6.583856482,-6.583856482,-6.583856482,0,-7.648555926,-7.648555926,-7.648555926
-6.707328066,-4.779696941,-6.373038283,-6.373038283,-6.626093947,-6.810872181,-6.810872181,-7.833365856,-5.742564623,-6.142441167,-6.142441167,-6.142441167,-6.017219412,-5.281254919,-7.640973252,-7.640973252,-6.101009711,-7.574921564,-8.781394346,-8.781394346,-6.603980625,-6.586282554,-6.586282554,-6.586282554,-8.530425067,-8.228951041,-8.228951041,-8.228951041,-8.184182801,-7.897126776,-7.897126776,-7.897126776,0,-7.599031938,-7.599031938,-7.599031938
-6.39651427,-6.636372717,-6.636372717,-6.636372717,-7.003115516,-6.576336995,-6.576336995,-6.576336995,-6.138373015,-6.490384835,-6.490384835,-6.490384835,-5.513862895,-5.490147321,-6.432264135,-6.432264135,-7.882967081,-7.376833511,-7.376833511,-7.376833511,-7.956215372,-7.949671017,-7.949671017,-7.949671017,-8.216681902,-7.24769983,-7.24769983,-7.24769983,-8.371522145,-8.312506655,-8.312506655,-8.312506655,0,-6.543398757,-6.543398757,-6.543398757
-6.923323734,-6.608820171,-6.608820171,-6.608820171,-6.274818512,-6.348993054,-6.348993054,-6.348993054,-5.932852327,-5.724117755,-5.724117755,-5.724117755,-5.848228918,-4.375247891,-5.647376271,-5.647376271,-7.624750444,-6.951581046,-6.951581046,-7.486650896,-7.69259416,-7.229863226,-7.229863226,-7.772981332,-8.418708142,-7.560843943,-7.560843943,-7.560843943,-7.571268933,-7.404884954,-7.404884954,-7.404884954,0,-8.008200988,-8.008200988,-8.008200988
-6.128286408,-6.846074791,-6.846074791,-6.846074791,-6.113570655,-6.997510318,-6.997510318,-6.997510318,-7.01094576,-4.660751744,-4.660751744,-6.071985493,-7.479762783,-5.479399918,-7.866757999,-7.866757999,-6.048842051,-5.764351318,-5.764351318,-6.828138748,-7.94087596,-6.493740321,-6.493740321,-6.493740321,-7.446350885,-6.438995814,-6.438995814,-6.438995814,-6.488007726,-6.582202046,-6.582202046,-6.582202046,0,-8.212410373,-8.212410373,-8.212410373
-6.605496983,-6.36915703,-6.36915703,-6.36915703,-7.531780779,-5.887888886,-5.887888886,-6.896694213,-6.752583558,-6.156847602,-7.471927348,-7.471927348,-6.206009747,-7.238501602,-7.238501602,-7.238501602,-7.710240057,-6.644019429,-6.644019429,-7.38177023,-7.669403586,-7.278312613,-7.278312613,-7.669403586,-7.021146816,-8.298219242,-8.298219242,-8.298219242,-7.811642021,-7.758486134,-7.758486134,-7.758486134,0,-8.214489057,-8.214489057,-8.214489057
-6.438350238,-5.051347515,-5.051347515,-5.051347515,-5.574214825,-3.601434944,-5.329607256,-5.329607256,-7.362203733,-6.145284241,-6.814106294,-6.814106294,-6.973333424,-5.296066407,-6.344790013,-6.344790013,-6.571944767,-6.590168998,-6.590168998,-7.260318703,-6.768670474,-6.210151596,-6.210151596,-7.252101624,-8.133578778,-6.628786751,-6.628786751,-6.628786751,-7.31341012,-7.310414212,-7.310414212,-7.310414212,0,-8.023340627,-8.023340627,-8.023340627
