Sectioning,NGS,UNGS,NV,Sectioning.1,NGS.1,UNGS.1,NV.1,Sectioning.2,NGS.2,UNGS.2,NV.2,Sectioning.3,NGS.3,UNGS.3,NV.3,Sectioning.4,NGS.4,UNGS.4,NV.4,Sectioning.5,NGS.5,UNGS.5,NV.5,Sectioning.6,NGS.6,UNGS.6,NV.6,Sectioning.7,NGS.7,UNGS.7,NV.7,Sectioning.8,NGS.8,UNGS.8,NV.8,Sectioning,NGS,UNGS,NV
-8.69946740229246,-8.102499872486987,-8.102499872486987,-8.102499872486987,-8.69946740229246,-8.102499872486987,-8.102499872486987,-8.102499872486987,-8.137010316752487,-8.123297666087693,-8.123297666087693,-8.123297666087693,-8.03850640981987,-9.252397859798656,-9.252397859798656,-9.252397859798656,-7.75642653845312,-8.462674206302848,-8.462674206302848,-8.462674206302848,-7.574948143877334,-8.03169066860289,-8.03169066860289,-8.03169066860289,-8.177868845467405,-7.990948375345983,-7.990948375345983,-7.990948375345983,-8.096735819367927,-7.971099312710787,-7.971099312710787,-7.971099312710787,-7.364783811570637,-7.339754578711295,-7.339754578711295,-7.339754578711295,-8.103804370832561,-7.560050098624157,-7.560050098624157,-7.560050098624157
-8.010057843634314,-8.68648698289321,-8.68648698289321,-8.68648698289321,-8.010057843634314,-8.68648698289321,-8.68648698289321,-8.68648698289321,-7.66282091166232,-8.81387789710866,-8.81387789710866,-8.81387789710866,-8.38382040796357,-8.060840206816838,-8.060840206816838,-8.060840206816838,-7.074853939207177,-8.071072952928223,-8.071072952928223,-8.071072952928223,-8.047476002173797,-7.69682453287438,-7.69682453287438,-7.69682453287438,-6.738162590269277,-6.538351944827678,-6.538351944827678,-7.486472170287389,-8.251189785481618,-8.130397928876139,-8.130397928876139,-8.130397928876139,-7.526677366457448,-7.494337850732355,-7.494337850732355,-7.516095138611357,-7.811288631658046,-7.7847652251986315,-7.7847652251986315,-7.7847652251986315
-8.249201329706006,-9.113399225958911,-9.113399225958911,-9.113399225958911,-8.249201329706006,-9.113399225958911,-9.113399225958911,-9.113399225958911,-8.05571741505647,-8.03843464018182,-8.03843464018182,-8.03843464018182,-9.489256229654748,-8.60432321013203,-8.60432321013203,-8.60432321013203,-8.254570416101807,-8.217325340151199,-8.217325340151199,-8.217325340151199,-7.910506547873759,-7.758899589424804,-7.758899589424804,-7.758899589424804,-7.935793171296923,-7.292749510485594,-7.292749510485594,-7.292749510485594,-7.371343869856845,-7.502037435671987,-7.502037435671987,-7.502037435671987,-8.075850104311739,-7.411543383313523,-7.411543383313523,-7.435650913761906,-8.481877338916243,-7.767684478028853,-7.767684478028853,-7.767684478028853
-8.009713685419264,-8.300933726814145,-8.300933726814145,-8.300933726814145,-8.009713685419264,-8.300933726814145,-8.300933726814145,-8.300933726814145,-8.842466060324195,-8.08218799353159,-8.08218799353159,-8.08218799353159,-8.19306028763771,-8.426905363809794,-8.426905363809794,-8.426905363809794,-7.336529208727008,-8.222686762906267,-8.222686762906267,-8.222686762906267,-8.835356951333324,-7.8426542633626,-7.8426542633626,-7.8426542633626,-8.304002465111722,-8.160461764077013,-8.160461764077013,-8.160461764077013,-8.095963587360938,-7.6392766267100445,-7.6392766267100445,-7.6392766267100445,-6.950744590262461,-7.200262556453361,-7.200262556453361,-7.200262556453361,-7.339280791107812,-8.01172782759779,-8.01172782759779,-8.01172782759779
-9.982002009871469,-8.4572413243118,-8.4572413243118,-8.4572413243118,-9.982002009871469,-8.4572413243118,-8.4572413243118,-8.4572413243118,-8.638682362254896,-8.007429567496878,-8.007429567496878,-8.007429567496878,-8.02481156701141,-7.566031756900049,-7.566031756900049,-7.566031756900049,-8.18113209414964,-7.775914051411419,-7.775914051411419,-7.775914051411419,-7.674200595965691,-7.285502744070847,-7.285502744070847,-7.285502744070847,-7.451110661560614,-7.477868938780861,-7.477868938780861,-7.477868938780861,-7.542612993298451,-7.326136954528835,-7.326136954528835,-7.326136954528835,-8.453975123772816,-8.614913495653234,-8.614913495653234,-8.614913495653234,-8.468842570746247,-8.06363115966287,-8.06363115966287,-8.06363115966287
-8.047506848924389,-9.715915853891202,-9.715915853891202,-9.715915853891202,-8.047506848924389,-9.715915853891202,-9.715915853891202,-9.715915853891202,-8.240832053768967,-8.776029847382974,-8.776029847382974,-8.776029847382974,-7.1019148718477725,-7.134413943352614,-7.134413943352614,-7.134413943352614,-7.516496716147466,-8.026794530187104,-8.026794530187104,-8.026794530187104,-8.618450733914631,-7.429773550282739,-7.429773550282739,-7.429773550282739,-7.227148882036321,-7.550322986667464,-7.550322986667464,-7.550322986667464,-6.923007320147929,-6.934658433454513,-7.22403611282259,-7.22403611282259,-7.317202183421811,-7.469029763390451,-7.469029763390451,-7.469029763390451,-7.740105598589656,-7.754615523439769,-7.754615523439769,-7.754615523439769
-10.0,-9.16968492466722,-9.16968492466722,-9.16968492466722,-10.0,-9.16968492466722,-9.16968492466722,-9.16968492466722,-8.741880812301666,-8.787252129600134,-8.787252129600134,-8.787252129600134,-8.419516725758289,-8.422192671585275,-8.422192671585275,-8.422192671585275,-8.197933887006918,-7.856834679994934,-7.856834679994934,-7.856834679994934,-7.910859670669916,-7.596933635138118,-7.596933635138118,-7.596933635138118,-7.840002444919326,-7.379467339479668,-7.379467339479668,-7.379467339479668,-7.931895700953202,-7.475689442969835,-7.475689442969835,-7.475689442969835,-8.52456674200412,-7.709847813943328,-7.709847813943328,-7.709847813943328,-8.272371467588105,-8.118374359974084,-8.118374359974084,-8.118374359974084
-9.980873270222144,-8.810290164366586,-8.810290164366586,-8.810290164366586,-9.980873270222144,-8.810290164366586,-8.810290164366586,-8.810290164366586,-8.311152482594892,-8.344480748053401,-8.344480748053401,-8.344480748053401,-7.648006929540669,-7.648006929540669,-7.648006929540669,-7.648006929540669,-7.128530597216346,-7.268624910922073,-7.268624910922073,-7.268624910922073,-7.278216064756956,-7.277388920573546,-7.277388920573546,-7.277388920573546,-7.829734856203495,-7.989459261741464,-7.989459261741464,-7.989459261741464,-7.905600123714115,-7.971389938505585,-7.971389938505585,-7.971389938505585,-7.1376752645136925,-7.123167450758697,-7.123167450758697,-7.123167450758697,-7.326011827199901,-8.267954477064798,-8.267954477064798,-8.267954477064798
-10.0,-7.9129453799374225,-7.9129453799374225,-7.9129453799374225,-10.0,-7.9129453799374225,-7.9129453799374225,-7.9129453799374225,-8.240458423057811,-7.449939597705908,-7.449939597705908,-7.449939597705908,-7.976535383548407,-8.620587869893953,-8.620587869893953,-8.620587869893953,-7.366030010469054,-7.621164811163296,-7.621164811163296,-7.621164811163296,-8.29397761609083,-8.08279142824773,-8.08279142824773,-8.08279142824773,-8.146116610495508,-8.05349569663712,-8.05349569663712,-8.05349569663712,-7.515339553662833,-7.352539176249831,-7.352539176249831,-7.352539176249831,-7.730915490046471,-7.937920497291573,-7.937920497291573,-7.937920497291573,-7.9379439141919015,-7.054170828454939,-7.054170828454939,-7.054170828454939
-10.0,-8.882397253393215,-8.882397253393215,-8.882397253393215,-10.0,-8.882397253393215,-8.882397253393215,-8.882397253393215,-8.017039905578898,-8.44010208202835,-8.44010208202835,-8.44010208202835,-8.846544656733068,-8.151950500780567,-8.151950500780567,-8.151950500780567,-7.968755991379362,-7.715547865156845,-7.715547865156845,-7.715547865156845,-7.382102840476185,-7.321309125897643,-7.321309125897643,-7.321309125897643,-7.31644665899505,-7.53056637827944,-7.53056637827944,-7.53056637827944,-7.2284543425659615,-7.155979609613359,-7.155979609613359,-7.155979609613359,-8.484886548915352,-8.01718454989322,-8.01718454989322,-8.01718454989322,-7.992751931467857,-7.130907345673163,-7.130907345673163,-7.130907345673163
