Sectioning,NGS,UNGS,NV,Sectioning.1,NGS.1,UNGS.1,NV.1,Sectioning.1.1,NGS.1.1,UNGS.1.1,NV.1.1,Sectioning.1.1.1,NGS.1.1.1,UNGS.1.1.1,NV.1.1.1,Sectioning.1.1.1.1,NGS.1.1.1.1,UNGS.1.1.1.1,NV.1.1.1.1,Sectioning.1.1.1.1.1,NGS.1.1.1.1.1,UNGS.1.1.1.1.1,NV.1.1.1.1.1,Sectioning.1.1.1.1.1.1,NGS.1.1.1.1.1.1,UNGS.1.1.1.1.1.1,NV.1.1.1.1.1.1,Sectioning.1.1.1.1.1.1.1,NGS.1.1.1.1.1.1.1,UNGS.1.1.1.1.1.1.1,NV.1.1.1.1.1.1.1,Sectioning,NGS,UNGS,NV
-7.514839531870153,-8.047427597133247,-8.047427597133247,-8.047427597133247,-7.60038234923332,-7.87771487368567,-7.87771487368567,-7.87771487368567,-7.770825419994649,-7.294702989671568,-7.294702989671568,-7.294702989671568,-6.884712534065982,-6.674913772668456,-6.674913772668456,-6.674913772668456,-7.487604723042645,-7.409978181379649,-7.409978181379649,-7.409978181379649,-6.941510559061928,-7.176422230608448,-7.176422230608448,-7.445566490696237,-7.317604204231238,-7.597493434080512,-7.597493434080512,-8.042067462992879,-7.066207517920578,-7.145628171249609,-7.145628171249609,-7.145628171249609,-6.788350066445199,-6.842991844061963,-6.842991844061963,-6.842991844061963
-7.6303213295437615,-7.840459849776884,-7.840459849776884,-7.840459849776884,-8.210646463116985,-7.688835788035423,-7.688835788035423,-7.688835788035423,-6.687308589162544,-7.881114907049223,-7.881114907049223,-7.881114907049223,-7.296549386805882,-7.332287116908037,-7.332287116908037,-7.332287116908037,-6.9430598845613805,-7.336561493333189,-7.336561493333189,-7.336561493333189,-7.051595698494935,-7.322235898526225,-7.322235898526225,-7.322235898526225,-6.867755062938777,-6.944695760862893,-6.944695760862893,-6.944695760862893,-7.3688120508213615,-6.930889641390366,-6.930889641390366,-7.379216236783965,-6.60783536290626,-6.603214019018049,-6.603214019018049,-7.302394036695683
-7.798026429129992,-8.725978808857034,-8.725978808857034,-8.725978808857034,-7.965339341342688,-7.856764654880731,-7.856764654880731,-7.856764654880731,-7.316677535197829,-7.783202879697656,-7.783202879697656,-7.783202879697656,-7.493941350565462,-7.37165472726523,-7.37165472726523,-7.37165472726523,-7.792576063614064,-7.30950061949752,-7.30950061949752,-7.30950061949752,-6.621713001744983,-6.681163567414412,-6.681163567414412,-6.681163567414412,-7.1602606615400255,-7.1738674572654,-7.1738674572654,-7.1738674572654,-7.746506964487082,-6.969045512459146,-6.969045512459146,-6.969045512459146,-7.424310840873937,-6.540548051871224,-6.540548051871224,-7.149781951574267
-8.439076625182077,-8.252614704244186,-8.252614704244186,-8.252614704244186,-7.63012902194993,-7.878246460357755,-7.878246460357755,-7.878246460357755,-7.370049507521029,-7.165406628699071,-7.165406628699071,-7.165406628699071,-7.342882900114879,-7.375763340906253,-7.375763340906253,-7.375763340906253,-6.903393691222833,-7.220777241791211,-7.220777241791211,-7.220777241791211,-7.026022986052099,-7.385151039426674,-7.385151039426674,-7.385151039426674,-7.128952769338754,-7.168441428045253,-7.168441428045253,-7.168441428045253,-6.458039731268684,-6.611324866177696,-6.611324866177696,-6.611324866177696,-7.672461670326227,-7.026886292560338,-7.026886292560338,-7.026886292560338
-8.727677576334806,-7.858827988573195,-7.858827988573195,-7.858827988573195,-7.582658411304276,-7.675837210314516,-7.675837210314516,-7.675837210314516,-7.490517853274492,-7.626934684894701,-7.626934684894701,-7.626934684894701,-7.33688253567353,-7.4554476534047796,-7.4554476534047796,-7.4554476534047796,-6.465505932994947,-6.87355480130134,-6.87355480130134,-6.87355480130134,-6.823696203045122,-7.43124791069703,-7.43124791069703,-7.43124791069703,-7.359852205041832,-6.47268263695599,-6.47268263695599,-6.47268263695599,-7.221022663490444,-7.249418334135713,-7.249418334135713,-7.249418334135713,-7.619095681597016,-6.565931959399554,-6.565931959399554,-7.619170297416552
-8.315187875613818,-8.538110794546347,-8.538110794546347,-8.538110794546347,-7.382747142974633,-7.555865355468735,-7.555865355468735,-7.555865355468735,-7.929337612894805,-7.90797760412725,-7.90797760412725,-7.90797760412725,-6.955084773127312,-6.436752650984176,-6.436752650984176,-6.436752650984176,-7.1049992869586,-7.184496796479396,-7.184496796479396,-7.184496796479396,-7.267343144323255,-6.696266677298089,-6.696266677298089,-7.455738894729823,-8.001668471674561,-7.180446637928238,-7.180446637928238,-7.180446637928238,-6.938870937924747,-7.087230977110288,-7.087230977110288,-7.087230977110288,-6.825038170530424,-7.5279751119134275,-7.5279751119134275,-7.835053808456037
-5.890378435475229,-8.117104809896011,-8.117104809896011,-8.117104809896011,-7.525918795100052,-7.889104917753907,-7.889104917753907,-7.889104917753907,-7.468407670856341,-8.0885487930663,-8.0885487930663,-8.0885487930663,-7.075076429211089,-6.8161767504681166,-6.8161767504681166,-6.8161767504681166,-7.281671736209202,-6.928606970521191,-6.928606970521191,-6.928606970521191,-6.7849329068325,-6.568882970413742,-6.568882970413742,-7.038668846877876,-7.242543314485957,-7.923028475037621,-7.923028475037621,-7.923028475037621,-6.592109886879386,-6.592399677484612,-6.592399677484612,-6.592399677484612,-7.8951764230646475,-7.839482373768497,-7.839482373768497,-7.863325440705483
-8.315882284456544,-9.423794225544505,-9.423794225544505,-9.423794225544505,-7.820918354491797,-7.644415838107524,-7.644415838107524,-7.644415838107524,-7.587806011366579,-6.658160704543533,-6.658160704543533,-6.658160704543533,-7.500203580525048,-7.0198007281931805,-7.0198007281931805,-7.0198007281931805,-6.9948642200524205,-6.946881146195629,-6.946881146195629,-7.508993294080323,-7.006133090199,-7.045839856727948,-7.045839856727948,-7.045839856727948,-6.880667842457613,-6.399530478722989,-6.399530478722989,-6.399530478722989,-6.607181000453081,-6.655673294913915,-6.655673294913915,-7.595162641685665,-7.664100298674436,-6.987795277093413,-6.987795277093413,-6.987795277093413
-7.808278999870702,-7.909295666512615,-7.909295666512615,-7.909295666512615,-8.42191461585027,-7.006850745555669,-7.006850745555669,-7.006850745555669,-7.686668475334185,-7.4339481717952784,-7.4339481717952784,-7.4339481717952784,-7.453791660275711,-6.595205319017629,-6.595205319017629,-6.595205319017629,-6.833117574146712,-7.08114868900247,-7.08114868900247,-7.08114868900247,-7.241764529339646,-7.779803569677778,-7.779803569677778,-7.779803569677778,-7.058749479768252,-7.499126317502037,-7.499126317502037,-7.499126317502037,-6.898639459179197,-7.055967137540249,-7.055967137540249,-7.593086803759856,-7.705120827778154,-6.782145430622002,-6.782145430622002,-6.782145430622002
-7.277876899662588,-8.350348535171946,-8.350348535171946,-8.350348535171946,-7.158898904867748,-7.368991913689621,-7.368991913689621,-7.368991913689621,-6.540113966733218,-6.530202469821912,-6.530202469821912,-6.530202469821912,-7.578053632966731,-7.406617227262435,-7.406617227262435,-7.406617227262435,-7.042055306271738,-7.257594820917077,-7.257594820917077,-7.257594820917077,-6.5784217408967205,-7.044364364439852,-7.044364364439852,-7.044364364439852,-6.263500961830856,-6.266030664842119,-6.266030664842119,-6.266030664842119,-6.60301198742895,-7.57107854415726,-7.57107854415726,-7.6154558154439425,-7.158003180015973,-7.35355096755897,-7.35355096755897,-7.35355096755897
