Objective,Feasibility,Algorithm,Training Percentage,Data Size,Folds
-6.656834839,0.98,NGS,90,700,0
-6.641890664,0.98,UNGS,90,700,0
-6.846756583,0.85,NV,90,700,0
-7.65066757,0.15,Sectioning,10,600,0
-7.520485227,0.17,NGS,10,600,0
-7.520485227,0.17,UNGS,10,600,0
-7.526279111,0.15,NV,10,600,0
-7.207598967,0.46,Sectioning,20,600,0
-7.151918707,0.49,NGS,20,600,0
-7.150044293,0.49,UNGS,20,600,0
-7.199980302,0.38,NV,20,600,0
-6.965658242,0.84,Sectioning,30,600,0
-7.007286984,0.72,NGS,30,600,0
-6.998675639,0.72,UNGS,30,600,0
-7.07134586,0.64,NV,30,600,0
-6.867418152,0.93,Sectioning,40,600,0
-6.882165247,0.94,NGS,40,600,0
-6.865914088,0.95,UNGS,40,600,0
-7.040594096,0.75,NV,40,600,0
-6.802643718,0.96,Sectioning,50,600,0
-6.827627432,0.97,NGS,50,600,0
-6.815802669,0.97,UNGS,50,600,0
-7.018476848,0.74,NV,50,600,0
-6.787924525,0.96,Sectioning,60,600,0
-6.778121405,0.99,NGS,60,600,0
-6.744439006,0.99,UNGS,60,600,0
-6.985691258,0.82,NV,60,600,0
-6.671626009,1,Sectioning,70,600,0
-6.732059018,0.96,NGS,70,600,0
-6.709742367,0.96,UNGS,70,600,0
-6.961822132,0.78,NV,70,600,0
-6.624775719,0.99,Sectioning,80,600,0
-6.727293913,0.97,NGS,80,600,0
-6.71112115,0.98,UNGS,80,600,0
-6.999449167,0.72,NV,80,600,0
-6.746296044,0.9,Sectioning,90,600,0
-6.706833632,0.93,NGS,90,600,0
-6.688041698,0.93,UNGS,90,600,0
-6.962879193,0.74,NV,90,600,0
-8.623331855,0.02,UG,10,100,0
-8.18172315,0.01,UG,20,100,0
-7.940077671,0.04,UG,30,100,0
-7.74578183,0.05,UG,40,100,0
-7.650349792,0.1,UG,50,100,0
-7.65125196,0.06,UG,60,100,0
-7.56293995,0.14,UG,70,100,0
-7.550288732,0.15,UG,80,100,0
-7.540781223,0.16,UG,90,100,0
-8.260233231,0.03,UG,10,200,0
-7.773323862,0.04,UG,20,200,0
-7.520333401,0.12,UG,30,200,0
-7.335979687,0.28,UG,40,200,0
-7.216943659,0.49,UG,50,200,0
-7.230424625,0.43,UG,60,200,0
-7.130013752,0.59,UG,70,200,0
-7.062408547,0.64,UG,80,200,0
-7.094940133,0.66,UG,90,200,0
-8.018447762,0.02,UG,10,300,0
-7.558224494,0.09,UG,20,300,0
-7.284906116,0.32,UG,30,300,0
-7.160569741,0.54,UG,40,300,0
-7.06996908,0.67,UG,50,300,0
-6.849551259,0.91,UG,60,300,0
-6.837034233,0.91,UG,70,300,0
-6.797528407,0.93,UG,80,300,0
-6.788665804,0.93,UG,90,300,0
-7.764783897,0.08,UG,10,400,0
-7.333780781,0.27,UG,20,400,0
-7.163441406,0.52,UG,30,400,0
-7.007329452,0.76,UG,40,400,0
-6.91528818,0.88,UG,50,400,0
-6.874059856,0.92,UG,60,400,0
-6.815822207,0.94,UG,70,400,0
-6.793849111,0.93,UG,80,400,0
-6.707503927,0.97,UG,90,400,0
-7.633129739,0.07,UG,10,500,0
-7.230300789,0.42,UG,20,500,0
-7.015296214,0.69,UG,30,500,0
-6.960279019,0.83,UG,40,500,0
-6.810607107,0.97,UG,50,500,0
-6.79632216,0.97,UG,60,500,0
-6.668151067,1,UG,70,500,0
-6.695948185,0.99,UG,80,500,0
-6.734617441,0.94,UG,90,500,0
-7.465766909,0.18,UG,10,600,0
-7.155410391,0.51,UG,20,600,0
-6.973756938,0.82,UG,30,600,0
-6.840273923,0.94,UG,40,600,0
-6.756854399,0.97,UG,50,600,0
-6.714976055,0.97,UG,60,600,0
-6.64289563,1,UG,70,600,0
-6.669485124,1,UG,80,600,0
-6.581370223,0.98,UG,90,600,0
-7.423583346,0.21,UG,10,700,0
-7.069339158,0.66,UG,20,700,0
-6.891805444,0.91,UG,30,700,0
-6.799717193,0.95,UG,40,700,0
-6.727271636,1,UG,50,700,0
-6.722825777,1,UG,60,700,0
-6.626436507,0.98,UG,70,700,0
-6.596722282,1,UG,80,700,0
-6.510014134,1,UG,90,700,0
-7.341407643,0.29,UG,10,800,0
-7.018186915,0.78,UG,20,800,0
-6.836878861,0.97,UG,30,800,0
-6.77938996,0.99,UG,40,800,0
-6.713607026,0.97,UG,50,800,0
-6.703291055,1,UG,60,800,0
-6.608617533,1,UG,70,800,0
-6.585483039,1,UG,80,800,0
-6.495968521,0.99,UG,90,800,0
-7.254640934,0.38,UG,10,900,0
