config,n,split,d,reps,method,coverage,coverage_lo,coverage_hi,mean_obj,mean_oracle_gap,meets
paper_ro_ellipsoid,1000,0.1,2,500,UG,0.996,0.9855342847848231,0.9989023694773173,-1.1462750140960944,0.027909306160642706,True
paper_ro_ellipsoid,1000,0.1,2,500,NGS,1.0,0.9923756595384479,1.0,-1.1334366708552683,0.040747649401468904,True
paper_ro_ellipsoid,1000,0.1,2,500,UNGS,0.998,0.9887592932948532,0.9996468636054407,-1.134551092334056,0.03963322792268106,True
paper_ro_ellipsoid,1000,0.1,2,500,benchmark,1.0,0.9923756595384479,1.0,-0.9727869233715889,0.20139739688514827,True
paper_ro_ellipsoid,1000,0.1,50,500,NV,0.99,0.9768069002442693,0.9957212461034096,-44.652259797942634,0.01483079509197303,True
paper_ro_ellipsoid,1000,0.1,50,500,UG,0.994,0.9825097478959467,0.9979574037280398,-44.374952120142325,0.29213847289228806,True
paper_ro_ellipsoid,1000,0.1,50,500,NGS,1.0,0.9923756595384479,1.0,-44.196571782907085,0.4705188101275291,True
paper_ro_ellipsoid,1000,0.1,50,500,UNGS,0.994,0.9825097478959467,0.9979574037280398,-44.36599739318527,0.3010931998493476,True
paper_ro_ellipsoid,1000,0.1,50,500,benchmark,1.0,0.9923756595384479,1.0,-42.46409155317787,2.202999039856733,True
paper_ro_ellipsoid,1000,0.2,10,500,NV,0.94,0.9156389368747802,0.9576516435190539,-7.568282578549928,-0.03891441449099707,False
paper_ro_ellipsoid,1000,0.2,10,500,UG,0.996,0.9855342847848231,0.9989023694773173,-7.498131287171789,0.031236876887142277,True
paper_ro_ellipsoid,1000,0.2,10,500,NGS,1.0,0.9923756595384479,1.0,-7.481201531304595,0.048166632754334616,True
paper_ro_ellipsoid,1000,0.2,10,500,UNGS,0.996,0.9855342847848231,0.9989023694773173,-7.484824587653946,0.044543576404985144,True
paper_ro_ellipsoid,1000,0.2,10,500,benchmark,1.0,0.9923756595384479,1.0,-6.901634398385975,0.6277337656729571,True
paper_ro_ellipsoid,1000,0.2,2,500,NV,0.962,0.9414152274693561,0.9755398819441696,-1.1818876207810767,0.0002235909817573223,True
paper_ro_ellipsoid,1000,0.2,2,500,UG,0.996,0.9855342847848231,0.9989023694773173,-1.1481047244698246,0.03400648729300953,True
paper_ro_ellipsoid,1000,0.2,2,500,NGS,1.0,0.9923756595384479,1.0,-1.1324091071838642,0.04970210457897008,True
paper_ro_ellipsoid,1000,0.2,2,500,UNGS,1.0,0.9923756595384479,1.0,-1.1333905080903477,0.04872070367248644,True
paper_ro_ellipsoid,1000,0.2,2,500,benchmark,1.0,0.9923756595384479,1.0,-0.9727869233715889,0.2093242883912453,True
paper_ro_ellipsoid,1000,0.2,50,500,NV,1.0,0.9923756595384479,1.0,-44.359055309710996,0.00944739880263623,True
paper_ro_ellipsoid,1000,0.2,50,500,UG,1.0,0.9923756595384479,1.0,-44.31540873242839,0.05309397608524051,True
paper_ro_ellipsoid,1000,0.2,50,500,NGS,1.0,0.9923756595384479,1.0,-44.25706075164753,0.11144195686610579,True
