Objective,Feasibility,Algorithm,Training Percentage,Data Size,Folds
-2.0795155884679857,0.89,UNGS,80,180,0
-7.113720237589652,0.51,NV,80,180,0
-6.546108246293637,0.78,UG,80,180,0
-7.046894049141303,0.52,NGS,90,180,0
-1.8766907950550524,0.89,UNGS,90,180,0
-7.046894049141303,0.52,NV,90,180,0
-7.046894049141303,0.52,UG,90,180,0
-6.295919153682279,1.0,NGS,10,200,0
-5.303729629182097,1.0,UNGS,10,200,0
-6.775258331999657,0.78,NV,10,200,0
-6.344226306235429,1.0,UG,10,200,0
-6.4495788936620695,0.97,NGS,20,200,0
-5.475276509542746,1.0,UNGS,20,200,0
-6.997791280394418,0.63,NV,20,200,0
-6.621710268066445,0.94,UG,20,200,0
-6.432128980540332,0.99,NGS,30,200,0
-5.200306744199489,0.99,UNGS,30,200,0
-6.997901924175426,0.65,NV,30,200,0
-6.552168478438378,0.95,UG,30,200,0
-6.461987779695428,0.98,NGS,40,200,0
-5.007862011768807,0.99,UNGS,40,200,0
-7.202917697025406,0.51,NV,40,200,0
-6.723085820953003,0.92,UG,40,200,0
-6.618212658959963,0.94,NGS,50,200,0
-3.976147158675353,0.99,UNGS,50,200,0
-7.213267325443217,0.5,NV,50,200,0
-6.618212658959963,0.94,UG,50,200,0
-6.434511142933843,0.97,NGS,60,200,0
-3.0805864950342072,0.98,UNGS,60,200,0
-7.168290519388425,0.54,NV,60,200,0
-6.712725278124124,0.85,UG,60,200,0
-6.622201420844608,0.84,NGS,70,200,0
-2.361396990715817,0.97,UNGS,70,200,0
-7.219784562712469,0.47,NV,70,200,0
-6.622201420844608,0.84,UG,70,200,0
-6.439139035449875,0.89,NGS,80,200,0
-2.381498140095081,0.9,UNGS,80,200,0
-7.3449680955654015,0.39,NV,80,200,0
-6.439139035449875,0.89,UG,80,200,0
-6.838095181529114,0.61,NGS,90,200,0
-1.94065487162332,0.88,UNGS,90,200,0
-7.42672463404166,0.24,NV,90,200,0
-6.838095181529114,0.61,UG,90,200,0
-6.0174496044880526,0.83,CV,100,20,3
-6.155520220810101,0.78,BS,100,20,3
-6.052550578342866,0.89,CV,100,20,5
-5.822714152632188,0.89,BS,100,20,5
-7.006866178223963,0.59,CV,100,20,10
-5.977637014250511,0.89,BS,100,20,10
-5.873626797382105,0.94,CV,100,40,3
-5.84988324867405,0.9,BS,100,40,3
-5.942046000472081,0.96,CV,100,40,5
-5.642928879312742,0.97,BS,100,40,5
-6.556667662343075,0.8,CV,100,40,10
-5.714790277259263,0.99,BS,100,40,10
-6.394939167816363,0.86,CV,100,60,3
-6.13940283177468,0.92,BS,100,60,3
-5.610805237131101,0.98,CV,100,60,5
-5.977120439348522,0.95,BS,100,60,5
-6.429173587856882,0.87,CV,100,60,10
-6.156109711080852,0.97,BS,100,60,10
-6.194528991161364,0.93,CV,100,80,3
-6.157969335462481,0.92,BS,100,80,3
-5.680695344151241,1.0,CV,100,80,5
-6.039332380347068,0.97,BS,100,80,5
