Cross Validation,Bootstrapping,Cross Validation.1,Bootstrapping.1,Cross Validation,Bootstrapping
-6.680504580600922,-6.680504580600922,-6.66811936421874,-6.434104574254405,-6.101669103340559,-6.101669103340559
-7.208290600241586,-7.208290600241586,-6.686092966155629,-6.686092966155629,-6.648860682181043,-6.961499109929334
-6.952988130754144,-7.117827208252476,-6.557893506956351,-6.557893506956351,-7.280661444672117,-7.157850964234688
-6.784521474853291,-6.31941564977098,-6.700689850745378,-6.700689850745378,-6.659533193385598,-6.659533193385598
-6.904572667932362,-6.606048451445006,-6.4321108451325815,-6.4321108451325815,-6.871424001790582,-6.871424001790582
-6.323394040222226,-6.259547089179766,-6.933184075301552,-6.014717316313669,-6.75435605766825,-6.75435605766825
-6.541163998891689,-6.541163998891689,-6.853454706294002,-6.448300461529071,-7.551541150708771,-6.847956482001738
-6.623116233338256,-6.58539775047899,-6.331187038713399,-6.261323697552442,-7.045536936757309,-6.517884584074755
-6.800466658969117,-6.800466658969117,-6.257980898310076,-6.523866791268453,-6.595304754411516,-6.595304754411516
-7.109148494976506,-6.983428318100528,-6.867283424924834,-6.241944951166526,-6.498078242635405,-6.498078242635405
-6.485318576747567,-6.485318576747567,-6.572460812146203,-6.572460812146203,-6.854480499133521,-6.854480499133521
-6.569867602597159,-6.569867602597159,-6.663050828390479,-6.6306064828222695,-7.021010345885114,-7.021010345885114
-6.431712643933265,-6.431712643933265,-6.541543927872641,-6.541543927872641,-7.282788945345439,-6.648726936872496
-7.0503710366986185,-7.003454069478937,-6.311443409183877,-6.32861690469344,-6.780130993512987,-6.490260575188841
-6.610822433022541,-6.491260757551429,-6.498986837707221,-6.498986837707221,-6.293589323494136,-6.293589323494136
-6.6017349740304745,-6.584880574444226,-6.898745819262569,-6.898745819262569,-7.426827866849957,-6.50301760332907
-6.713731871951126,-6.8884424387891565,-6.66196134538057,-6.66196134538057,-6.589495033326642,-6.470592337377482
-6.784366572132947,-6.784366572132947,-6.857382392937102,-6.301729931327255,-7.288483479184694,-7.288483479184694
-6.836835524569576,-6.836835524569576,-6.924946161896117,-6.924946161896117,-6.803542669910865,-6.832799601815815
-6.63507089473281,-6.488882103888697,-6.946825701921448,-6.444898191137936,-7.258411716213562,-6.841340783336125
-7.0958414560245,-7.025138568157469,-6.679460640516869,-6.325318504279904,-6.6169597935834785,-6.550185236158246
-6.680971379131113,-6.680971379131113,-6.482650465878996,-6.482650465878996,-7.185881795125607,-7.185881795125607
-6.790678819349268,-6.558820902619957,-6.934505133288829,-6.962431593050348,-6.4756590079175655,-7.199176417099789
