Cross Validation,Bootstrapping,Cross Validation.1,Bootstrapping.1,Cross Validation,Bootstrapping
-7.463273851522337,-7.003271004559807,-6.999281978384914,-7.098339505744955,-7.1535930601525575,-7.411092635807404
-6.695757214161366,-6.695757214161366,-6.988409502421391,-7.04306287243819,-6.650707368018425,-7.093808103762789
-6.706642091358234,-6.706642091358234,-6.317116379543228,-6.317116379543228,-6.766459000108197,-6.766459000108197
-6.495793092955253,-6.503666984417176,-6.81519606154735,-6.81519606154735,-6.717055223092844,-6.92840443306914
-6.866970569407173,-6.723907303532972,-6.968448615039533,-7.096607986775855,-6.693870866803882,-6.693870866803882
-6.576534219528344,-6.576534219528344,-6.755647226421379,-6.75245378415093,-6.816637248312081,-7.805930532868853
-7.054574732988215,-7.054574732988215,-7.279242963128103,-7.402919693683266,-6.894389461001632,-6.894389461001632
-6.620550510564509,-6.620550510564509,-6.381381287452429,-7.175703290623955,-6.8265969023306114,-6.8265969023306114
-6.970293658216008,-6.747845188425382,-6.422005594475488,-6.537984896087181,-6.457792326697633,-6.457792326697633
-6.511364067713928,-7.093940487732746,-7.031083331618346,-7.031083331618346,-6.383167202282873,-6.475441759163811
-6.679514130601549,-7.142850223005319,-6.888900914171544,-6.925104532436649,-6.887924476126541,-6.887924476126541
-6.866473897365902,-6.866473897365902,-6.756651731507067,-7.009889346376752,-6.652765477047804,-6.652765477047804
-6.515021425363587,-6.515021425363587,-6.508123770810169,-6.508123770810169,-7.334698269643216,-7.161340060144163
-7.194061008661173,-7.194061008661173,-6.991607630149237,-6.991607630149237,-6.9653829012447765,-6.715353855514424
-6.748565601441284,-6.748945650212614,-7.402773101460136,-6.960398095366178,-6.464588334332542,-6.464588334332542
-6.436522979568385,-6.56195978001092,-7.20623170503932,-7.003284836457625,-6.411478480450171,-6.847624983456241
-6.523331762011514,-6.523331762011514,-6.693217056219069,-6.693217056219069,-7.207667537182408,-6.882034451842634
-7.375414554174612,-6.597363784584572,-6.886410718211135,-7.2727116938501455,-6.625690637391016,-6.5509585456323
