Objective,Feasibility,Algorithm,Training Percentage,Data Size,Folds
-6.897506882781639,1.0,UG,80,800,0
-6.708079373967983,1.0,Sectioning,90,800,0
-6.576344715237703,0.99,NGS,90,800,0
-6.332489979111929,0.99,UNGS,90,800,0
-7.184146577172304,0.89,NV,90,800,0
-6.82515024040044,0.97,UG,90,800,0
-6.842341305949108,1.0,Sectioning,10,900,0
-6.858162614135523,1.0,NGS,10,900,0
-6.815094521417498,1.0,UNGS,10,900,0
-7.06489748576528,0.94,NV,10,900,0
-6.956865580145136,1.0,UG,10,900,0
-6.73085650745159,0.99,Sectioning,20,900,0
-6.82397916156312,1.0,NGS,20,900,0
-6.809837844459812,1.0,UNGS,20,900,0
-7.078682778649367,0.89,NV,20,900,0
-6.91845846846166,0.99,UG,20,900,0
-6.858976727743304,1.0,Sectioning,30,900,0
-6.867883796149704,1.0,NGS,30,900,0
-6.83723916998982,1.0,UNGS,30,900,0
-7.072299916660451,0.91,NV,30,900,0
-6.954167427117062,1.0,UG,30,900,0
-6.710896982972563,1.0,Sectioning,40,900,0
-6.841020679248748,1.0,NGS,40,900,0
-6.817396240433099,1.0,UNGS,40,900,0
-7.113200082097944,0.94,NV,40,900,0
-6.938725300922398,0.99,UG,40,900,0
-6.773389032475688,0.99,Sectioning,50,900,0
-6.838013403153774,1.0,NGS,50,900,0
-6.792070736870421,1.0,UNGS,50,900,0
-7.109384658966499,0.96,NV,50,900,0
-6.9229493388261405,1.0,UG,50,900,0
-6.623915022822758,1.0,Sectioning,60,900,0
-6.831490411155939,1.0,NGS,60,900,0
-6.802258621833537,1.0,UNGS,60,900,0
-7.141809201207275,0.92,NV,60,900,0
-6.901943538599621,0.99,UG,60,900,0
-6.715306188995548,1.0,Sectioning,70,900,0
-6.867791822205645,1.0,NGS,70,900,0
-6.765670213473132,1.0,UNGS,70,900,0
-7.119929901472483,0.96,NV,70,900,0
-6.924577568585043,0.99,UG,70,900,0
-6.315052177987426,1.0,Sectioning,80,900,0
-6.786588616431248,0.99,NGS,80,900,0
-6.665102535512537,0.99,UNGS,80,900,0
-7.147082868967016,0.93,NV,80,900,0
-6.831616517004224,0.99,UG,80,900,0
-6.610183078121064,1.0,Sectioning,90,900,0
-6.675746192332183,1.0,NGS,90,900,0
-6.309895309244762,1.0,UNGS,90,900,0
-7.076840445757158,0.97,NV,90,900,0
-6.745147159252611,1.0,UG,90,900,0
-6.727953752948414,1.0,Sectioning,10,1000,0
-6.860041799835404,1.0,NGS,10,1000,0
-6.840516397683071,1.0,UNGS,10,1000,0
-7.0725767920614295,0.83,NV,10,1000,0
-6.9216898674165455,0.98,UG,10,1000,0
-6.839102984631163,0.98,Sectioning,20,1000,0
-6.886986088687112,0.98,NGS,20,1000,0
-6.871719983186333,0.98,UNGS,20,1000,0
-7.095015337355948,0.89,NV,20,1000,0
-6.9510540709578335,0.98,UG,20,1000,0
-6.802667672070514,1.0,Sectioning,30,1000,0
-6.868682201786832,1.0,NGS,30,1000,0
-6.861754342675936,1.0,UNGS,30,1000,0
-7.092013444235437,0.9,NV,30,1000,0
-6.936092752050593,0.98,UG,30,1000,0
-6.863430414496691,1.0,Sectioning,40,1000,0
-6.884169332352679,0.99,NGS,40,1000,0
-6.861780180211899,0.99,UNGS,40,1000,0
-7.110698037003641,0.91,NV,40,1000,0
-6.950621783178662,0.97,UG,40,1000,0
-6.732387202007517,1.0,Sectioning,50,1000,0
-6.865537269529013,1.0,NGS,50,1000,0
-6.812559398821753,1.0,UNGS,50,1000,0
-7.105718194971316,0.98,NV,50,1000,0
-6.932631704740524,1.0,UG,50,1000,0
-6.860998637027641,1.0,Sectioning,60,1000,0
-6.84361251653712,0.99,NGS,60,1000,0
-6.784745277356623,1.0,UNGS,60,1000,0
-7.100897056667332,0.97,NV,60,1000,0
-6.92550985453417,0.99,UG,60,1000,0
-6.698976932883848,1.0,Sectioning,70,1000,0
-6.826464619910386,1.0,NGS,70,1000,0
-6.766773810127823,1.0,UNGS,70,1000,0
-7.117392715757697,0.98,NV,70,1000,0
-6.867586285109257,1.0,UG,70,1000,0
-6.871157122738914,0.99,Sectioning,80,1000,0
-6.812995114214872,1.0,NGS,80,1000,0
-6.665169946618906,1.0,UNGS,80,1000,0
-7.121022635613957,0.98,NV,80,1000,0
-6.89260322797542,1.0,UG,80,1000,0
-6.515501165457002,1.0,Sectioning,90,1000,0
-6.742619632322175,1.0,NGS,90,1000,0
-6.361598859993847,1.0,UNGS,90,1000,0
-7.138169467876968,0.95,NV,90,1000,0
-6.742619632322175,1.0,UG,90,1000,0
-6.435320585073788,0.99,CV,100,100,10
-6.317551649730571,1.0,BS,100,100,10
-6.799447333271327,0.9,CV,100,200,10
-6.629667072413286,0.98,BS,100,200,10
-6.638592355492247,0.99,CV,100,300,10
-6.732116668226779,0.99,BS,100,300,10
-6.776216526126085,0.99,CV,100,400,10
-6.746864644140691,1.0,BS,100,400,10
-6.680428636809205,1.0,CV,100,500,10
-6.781980014138607,1.0,BS,100,500,10
-6.82242418398036,0.97,CV,100,600,10
-6.815669992893121,0.99,BS,100,600,10
-6.752331748276365,0.99,CV,100,700,10
-6.827403290753065,1.0,BS,100,700,10
-6.80541726979063,0.99,CV,100,800,10
-6.8052247787861,1.0,BS,100,800,10
-6.7650368045901335,1.0,CV,100,900,10
-6.866020330843782,0.99,BS,100,900,10
-6.858306250374784,1.0,CV,100,1000,10
-6.885135989171064,1.0,BS,100,1000,10
-6.385120087991859,0.98,CV,100,100,3
-6.422052082639859,0.96,BS,100,100,3
-6.532341982167144,0.94,CV,100,100,5
-6.197914098836784,0.97,BS,100,100,5
-6.713465770699644,0.95,CV,100,200,3
-6.608850411539873,0.95,BS,100,200,3
-6.671740378967959,0.95,CV,100,200,5
-6.580479473357928,0.98,BS,100,200,5
-6.869494800804534,0.94,CV,100,300,3
-6.780797192245866,0.97,BS,100,300,3
-6.758532492425207,0.97,CV,100,300,5
-6.660181987696316,0.99,BS,100,300,5
-6.795831050922281,0.96,CV,100,400,3
-6.8274651821889405,0.94,BS,100,400,3
-6.768205895806627,0.97,CV,100,400,5
-6.7331077727640745,0.98,BS,100,400,5
-6.829017774935992,0.99,CV,100,500,3
-6.810030893743826,0.99,BS,100,500,3
-6.838015811332972,0.97,CV,100,500,5
-6.800624083226471,0.99,BS,100,500,5
-6.886404908127053,0.97,CV,100,600,3
-6.856622187208253,0.96,BS,100,600,3
-6.803118525649364,0.99,CV,100,600,5
-6.806378034948128,1.0,BS,100,600,5
-6.862684734162095,1.0,CV,100,700,3
-6.849677721421141,1.0,BS,100,700,3
-6.815715499792419,1.0,CV,100,700,5
-6.81068875993094,1.0,BS,100,700,5
-6.884229655873356,1.0,CV,100,800,3
-6.891694708200503,1.0,BS,100,800,3
-6.844465331675766,0.98,CV,100,800,5
-6.85802890536713,0.97,BS,100,800,5
-6.9365686074119415,1.0,CV,100,900,3
-6.893937588327529,1.0,BS,100,900,3
-6.830473415807473,1.0,CV,100,900,5
-6.853858450687223,1.0,BS,100,900,5
-6.894168653589678,1.0,CV,100,1000,3
-6.937090870179909,1.0,BS,100,1000,3
-6.827534137452393,1.0,CV,100,1000,5
-6.836029337281502,0.99,BS,100,1000,5
-7.004833962718375,1.0,CV,100,1100,3
-6.948211505060852,1.0,BS,100,1100,3
-6.848061055483099,1.0,CV,100,1100,5
-6.876294554731537,1.0,BS,100,1100,5
-6.787814969192755,1.0,CV,100,1100,10
-6.886670057623579,1.0,BS,100,1100,10
-6.9748686116565874,1.0,CV,100,1200,3
-6.970632470069068,1.0,BS,100,1200,3
-6.857663646180209,1.0,CV,100,1200,5
-6.86231680313037,1.0,BS,100,1200,5
-6.859609522061034,1.0,CV,100,1200,10
-6.911747625309676,1.0,BS,100,1200,10
-6.9693492405783335,1.0,CV,100,1300,3
-6.9929729946000485,1.0,BS,100,1300,3
-6.916032961484836,1.0,CV,100,1300,5
-6.963503380101737,1.0,BS,100,1300,5
-6.8257668387464525,1.0,CV,100,1300,10
-6.938796016625011,1.0,BS,100,1300,10
-7.01658908121881,1.0,CV,100,1400,3
-6.987981500089898,1.0,BS,100,1400,3
-6.916864183885814,1.0,CV,100,1400,5
-6.931244695349874,1.0,BS,100,1400,5
-6.904091862862347,1.0,CV,100,1400,10
-6.9605807172343415,1.0,BS,100,1400,10
-7.038681508706633,1.0,CV,100,1500,3
-7.015293127845444,1.0,BS,100,1500,3
-6.89241367922363,1.0,CV,100,1500,5
-6.944469125811898,1.0,BS,100,1500,5
-6.7901432768796335,1.0,CV,100,1500,10
-6.931263474954907,1.0,BS,100,1500,10
-7.027259262010684,1.0,CV,100,1600,3
-7.03618181791254,1.0,BS,100,1600,3
-6.866875926243368,1.0,CV,100,1600,5
-6.9754447090720895,1.0,BS,100,1600,5
-6.897625167725078,1.0,CV,100,1600,10
-7.011114827100283,1.0,BS,100,1600,10
-7.081103125069105,1.0,CV,100,1700,3
-7.071988989854873,1.0,BS,100,1700,3
-6.937412764408841,1.0,CV,100,1700,5
-6.954792652994465,1.0,BS,100,1700,5
-6.85712858217015,1.0,CV,100,1700,10
-7.031050366149029,1.0,BS,100,1700,10
-7.065556341006681,1.0,CV,100,1800,3
-7.037409100311601,1.0,BS,100,1800,3
-6.971503582411377,1.0,CV,100,1800,5
